categorie,elasticite,opportunite,note_moyenne,ratio_livraison_moyen,score_elasticite,score_note,score_livraison,score_confiance,fiabilite,prix_actuel,prix_optimal,gain_rs,gain_pct
Ordinateurs,0.018,🟢 Opportunité,4.221,0.057,1.0,0.80525,1.0,93.2,🟢 Très fiable,1098.92,1318.7,44682.67,20.43
Valises & Accessoires,-0.005,🟢 Opportunité,4.353,0.261,0.8789473684210527,0.8382499999999999,0.6746411483253588,81.4,🟢 Très fiable,128.79,154.55,27580.11,19.88
Montres & Cadeaux,-0.011,🟢 Opportunité,4.071,0.171,0.8473684210526315,0.7677499999999999,0.8181818181818181,81.2,🟢 Très fiable,199.04,238.85,230154.67,19.74
Instruments de Musique,-0.004,🟢 Opportunité,4.221,0.253,0.8842105263157894,0.80525,0.6874003189792663,80.7,🟢 Très fiable,283.13,339.76,36688.46,19.91
Électroménager 2,-0.014,🟢 Opportunité,4.16,0.2,0.831578947368421,0.79,0.7719298245614035,80.2,🟢 Très fiable,467.33,560.8,21227.2,19.66
Appareils Portables,-0.012,🟢 Opportunité,4.226,0.257,0.8421052631578947,0.8065,0.6810207336523126,78.9,🟢 Très fiable,277.74,333.29,36023.05,19.71
Beauté & Santé,-0.011,🟢 Opportunité,4.19,0.301,0.8473684210526315,0.7975000000000001,0.6108452950558214,77.1,🟢 Très fiable,130.28,156.34,243333.06,19.73
Construction & Sécurité,-0.013,🟢 Opportunité,3.966,0.244,0.8368421052631578,0.7415,0.7017543859649122,77.0,🟢 Très fiable,211.88,254.26,7634.65,19.69
Jouets,-0.019,🟢 Opportunité,4.205,0.265,0.8052631578947369,0.80125,0.668261562998405,77.0,🟢 Très fiable,116.94,140.33,92086.35,19.54
Parfumerie,-0.019,🟢 Opportunité,4.221,0.272,0.8052631578947369,0.80525,0.6570972886762361,76.8,🟢 Très fiable,116.81,140.17,76250.74,19.54
Sport & Loisirs,-0.013,🟢 Opportunité,4.165,0.294,0.8368421052631578,0.79125,0.6220095693779905,76.7,🟢 Très fiable,113.25,135.9,187941.28,19.68
Alimentation,-0.007,🟢 Opportunité,4.255,0.346,0.868421052631579,0.81375,0.5390749601275917,76.7,🟢 Très fiable,57.58,69.1,5699.48,19.84
Gadgets,-0.031,🟢 Opportunité,4.194,0.22,0.7421052631578947,0.7985,0.7400318979266347,76.1,🟢 Très fiable,164.12,196.94,117493.78,19.25
Agriculture & Commerce,-0.017,🟢 Opportunité,4.087,0.276,0.8157894736842105,0.7717499999999999,0.6507177033492823,75.9,🟢 Très fiable,342.55,411.06,13824.35,19.59
Livres Techniques,-0.016,🟢 Opportunité,4.376,0.347,0.8210526315789474,0.8440000000000001,0.5374800637958532,75.8,🟢 Très fiable,71.11,85.33,3668.27,19.61
Bébé,-0.015,🟢 Opportunité,4.079,0.293,0.8263157894736842,0.7697499999999999,0.6236044657097288,75.6,🟢 Très fiable,134.28,161.14,78644.16,19.64
Animalerie,-0.021,🟢 Opportunité,4.216,0.296,0.7947368421052632,0.804,0.6188197767145136,75.4,🟢 Très fiable,110.03,132.04,41274.66,19.5
Électroménager,-0.003,🟢 Opportunité,4.225,0.395,0.8894736842105263,0.8062499999999999,0.4609250398724083,75.3,🟢 Très fiable,104.55,125.46,15707.6,19.93
Industrie & Commerce,-0.02,🟢 Opportunité,4.128,0.288,0.8,0.782,0.631578947368421,75.2,🟢 Très fiable,145.28,174.34,7515.43,19.52
Automobile,-0.011,🟢 Opportunité,4.114,0.332,0.8473684210526315,0.7785,0.5614035087719298,75.2,🟢 Très fiable,139.85,167.82,114279.61,19.74
Livres Général,-0.023,🟢 Opportunité,4.506,0.357,0.7842105263157896,0.8765000000000001,0.5215311004784688,75.1,🟢 Très fiable,84.36,101.23,8809.37,19.45
Informatique,-0.015,🟢 Opportunité,3.986,0.295,0.8263157894736842,0.7465,0.6204146730462521,74.7,🟢 Très fiable,116.26,139.51,174505.78,19.64
Consoles & Jeux,-0.007,🟢 Opportunité,4.141,0.386,0.868421052631579,0.78525,0.4752791068580542,74.1,🟢 Très fiable,135.91,163.09,29355.16,19.83
Ustensiles Ménagers,-0.004,🟢 Opportunité,4.106,0.403,0.8842105263157894,0.7765,0.44816586921850077,73.8,🟢 Très fiable,90.6,108.72,122532.64,19.9
Literie & Salle de bain,-0.02,🟢 Opportunité,3.923,0.284,0.8,0.73075,0.6379585326953748,73.5,🟢 Très fiable,93.44,112.13,199790.62,19.52
Outils Construction,-0.013,🟢 Opportunité,4.091,0.369,0.8368421052631578,0.77275,0.5023923444976077,73.1,🟢 Très fiable,155.14,186.17,27978.01,19.69
Arts,-0.03,🟢 Opportunité,4.089,0.28,0.7473684210526316,0.7722500000000001,0.6443381180223284,73.0,🟢 Très fiable,120.09,144.11,4561.64,19.28
Meubles & Décoration,-0.012,🟢 Opportunité,3.949,0.346,0.8421052631578947,0.73725,0.5390749601275917,73.0,🟢 Très fiable,87.25,104.7,140373.79,19.72
Mobilier Chambre,-0.027,🟢 Opportunité,4.252,0.335,0.7631578947368421,0.813,0.5566188197767145,72.9,🟢 Très fiable,184.97,221.96,3687.03,19.35
Climatisation,-0.042,🟢 Opportunité,4.048,0.213,0.6842105263157895,0.762,0.7511961722488039,72.8,🟢 Très fiable,184.51,221.41,10127.0,18.99
Téléphonie Fixe,0.001,🟢 Opportunité,3.759,0.395,0.9105263157894737,0.68975,0.4609250398724083,72.1,🟢 Très fiable,216.92,260.3,11075.58,20.02
Marketplace,-0.027,🟢 Opportunité,4.073,0.321,0.7631578947368421,0.7682500000000001,0.5789473684210527,71.9,🟢 Très fiable,91.13,109.36,5377.7,19.35
Mode & Accessoires,-0.032,🟢 Opportunité,4.194,0.337,0.736842105263158,0.7985,0.5534290271132376,71.3,🟢 Très fiable,75.23,90.28,28721.59,19.23
Mobilier Cuisine & Jardin,-0.024,🟢 Opportunité,4.034,0.354,0.7789473684210527,0.7585,0.5263157894736843,70.9,🟢 Très fiable,166.18,199.42,8845.73,19.43
Mobilier Bureau,-0.018,🟢 Opportunité,3.517,0.274,0.8105263157894738,0.62925,0.6539074960127591,70.8,🟢 Très fiable,160.76,192.91,52464.49,19.57
