categorie,opportunite,prix_actuel,prix_optimal,gain_estime,gain_median,gain_min_95,prob_gain
Beauté & Santé,🟢 Opportunité,130.28,156.34,243333.06,243719.0,204173.0,100.0
Montres & Cadeaux,🟢 Opportunité,199.04,238.85,230154.67,230022.0,192939.0,100.0
Literie & Salle de bain,🟢 Opportunité,93.44,112.13,199790.62,199583.0,166814.0,100.0
Sport & Loisirs,🟢 Opportunité,113.25,135.9,187941.28,188121.0,156858.0,100.0
Informatique,🟢 Opportunité,116.26,139.51,174505.78,174649.0,145355.0,100.0
Meubles & Décoration,🟢 Opportunité,87.25,104.7,140373.79,140663.0,117636.0,100.0
Ustensiles Ménagers,🟢 Opportunité,90.6,108.72,122532.64,122473.0,102378.0,100.0
Gadgets,🟢 Opportunité,164.12,196.94,117493.78,117406.0,97975.0,100.0
Automobile,🟢 Opportunité,139.85,167.82,114279.61,114247.0,95491.0,100.0
Jouets,🟢 Opportunité,116.94,140.33,92086.35,92193.0,77010.0,100.0
Bébé,🟢 Opportunité,134.28,161.14,78644.16,78770.0,65709.0,100.0
Parfumerie,🟢 Opportunité,116.81,140.17,76250.74,76168.0,63785.0,100.0
Téléphonie,🟡 Prudence,69.95,83.94,57457.32,57425.0,48007.0,100.0
Mobilier Bureau,🟢 Opportunité,160.76,192.91,52464.49,52488.0,43856.0,100.0
Ordinateurs,🟢 Opportunité,1098.92,1318.7,44682.67,44643.0,37421.0,100.0
Papeterie,🟢 Opportunité,90.75,108.9,42556.6,42530.0,35542.0,100.0
Animalerie,🟢 Opportunité,110.03,132.04,41274.66,41320.0,34577.0,100.0
Instruments de Musique,🟢 Opportunité,283.13,339.76,36688.46,36635.0,30499.0,100.0
Appareils Portables,🟢 Opportunité,277.74,333.29,36023.05,36060.0,30171.0,100.0
Électronique,🟢 Opportunité,56.81,68.17,30588.15,30560.0,25457.0,100.0
Consoles & Jeux,🟢 Opportunité,135.91,163.09,29355.16,29410.0,24478.0,100.0
Mode & Accessoires,🟢 Opportunité,75.23,90.28,28721.59,28715.0,24092.0,100.0
Outils Construction,🟢 Opportunité,155.14,186.17,27978.01,27980.0,23405.0,100.0
Valises & Accessoires,🟢 Opportunité,128.79,154.55,27580.11,27549.0,23003.0,100.0
Électroménager 2,🟢 Opportunité,467.33,560.8,21227.2,21217.0,17774.0,100.0
Électroménager,🟢 Opportunité,104.55,125.46,15707.6,15690.0,13139.0,100.0
Construction Maison,🟢 Opportunité,136.59,163.91,15441.47,15427.0,12924.0,100.0
Agriculture & Commerce,🟢 Opportunité,342.55,411.06,13824.35,13822.0,11590.0,100.0
Mobilier Salon,🟡 Prudence,136.06,163.27,11917.2,11916.0,9941.0,100.0
Téléphonie Fixe,🟢 Opportunité,216.92,260.3,11075.58,11062.0,9236.0,100.0
Climatisation,🟢 Opportunité,184.51,221.41,10127.0,10104.0,8434.0,100.0
Audio,🟡 Prudence,139.7,167.64,9374.71,9384.0,7813.0,100.0
Mobilier Cuisine & Jardin,🟢 Opportunité,166.18,199.42,8845.73,8838.0,7384.0,100.0
Livres Général,🟢 Opportunité,84.36,101.23,8809.37,8807.0,7349.0,100.0
Construction & Sécurité,🟢 Opportunité,211.88,254.26,7634.65,7646.0,6387.0,100.0
Industrie & Commerce,🟢 Opportunité,145.28,174.34,7515.43,7537.0,6292.0,100.0
Éclairage Construction,🟡 Prudence,132.75,159.3,7330.6,7342.0,6142.0,100.0
Alimentation,🟢 Opportunité,57.58,69.1,5699.48,5699.0,4780.0,100.0
Marketplace,🟢 Opportunité,91.13,109.36,5377.7,5374.0,4482.0,100.0
Outils Jardin,🟢 Opportunité,108.17,129.8,4903.81,4895.0,4089.0,100.0
Arts,🟢 Opportunité,120.09,144.11,4561.64,4565.0,3798.0,100.0
Boissons,🟢 Opportunité,59.64,71.57,4140.86,4144.0,3452.0,100.0
Signalisation & Sécurité,🟢 Opportunité,108.2,129.84,4125.31,4120.0,3438.0,100.0
Mobilier Chambre,🟢 Opportunité,184.97,221.96,3687.03,3677.0,3088.0,100.0
Livres Techniques,🟢 Opportunité,71.11,85.33,3668.27,3661.0,3070.0,100.0
Alimentation & Boissons,🟡 Prudence,55.55,66.66,2784.24,2787.0,2319.0,100.0
Mode Homme,🟡 Prudence,83.62,100.34,1910.05,1908.0,1589.0,100.0
Articles de Noël,🟢 Opportunité,58.25,69.9,1715.7,1715.0,1435.0,100.0
